Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
17.219671	0.000140	0.115444	0.115444	67.205812	6.618427	0.780068	154.854039	154.854039	154.854039	4.091785	0.002867	2.830000	1.111298	0.427594	23.312645
17.467712	0.000144	0.117151	0.117151	67.461623	6.638039	0.779444	154.488592	154.488592	154.488592	4.093392	0.003058	2.830000	1.105218	0.426331	23.646073
17.719326	0.000149	0.118885	0.118885	67.717651	6.658327	0.778802	154.117734	154.117734	154.117734	4.095051	0.003262	2.830000	1.098984	0.425032	23.984180
17.974565	0.000154	0.120646	0.120646	67.973905	6.679318	0.778142	153.741378	153.741378	153.741378	4.096763	0.003480	2.830000	1.092594	0.423696	24.327029
18.233480	0.000159	0.122435	0.122435	68.230390	6.701041	0.777463	153.359439	153.359439	153.359439	4.098530	0.003714	2.830000	1.086045	0.422322	24.674678
18.496125	0.000164	0.124252	0.124252	68.487114	6.723525	0.776765	152.971828	152.971828	152.971828	4.100355	0.003965	2.830000	1.079333	0.420910	25.027190
18.762553	0.000169	0.126097	0.126097	68.744083	6.746801	0.776046	152.578456	152.578456	152.578456	4.102239	0.004234	2.830000	1.072455	0.419458	25.384626
19.032818	0.000175	0.127972	0.127972	69.001306	6.770902	0.775307	152.179232	152.179232	152.179232	4.104185	0.004522	2.830000	1.065409	0.417965	25.747048
19.306977	0.000181	0.129876	0.129876	69.258790	6.795862	0.774546	151.774062	151.774062	151.774062	4.106194	0.004831	2.830000	1.058191	0.416430	26.114519
19.585085	0.000187	0.131810	0.131810	69.516543	6.821717	0.773764	151.362851	151.362851	151.362851	4.108269	0.005162	2.830000	1.050798	0.414852	26.487101
19.867199	0.000193	0.133775	0.133776	69.774574	6.848505	0.772959	150.945502	150.945502	150.945502	4.110412	0.005518	2.830000	1.043226	0.413229	26.864857
20.153377	0.000199	0.135772	0.135772	70.032889	6.876266	0.772131	150.521918	150.521918	150.521918	4.112626	0.005900	2.830000	1.035473	0.411561	27.247849
20.443677	0.000206	0.137800	0.137801	70.291500	6.905041	0.771280	150.091997	150.091997	150.091997	4.114914	0.006310	2.830000	1.027535	0.409846	27.636142
20.738158	0.000213	0.139861	0.139862	70.550414	6.934875	0.770404	149.655636	149.655636	149.655636	4.117277	0.006751	2.830000	1.019410	0.408082	28.029797
21.036882	0.000220	0.141956	0.141956	70.809640	6.965815	0.769503	149.212731	149.212731	149.212731	4.119719	0.007225	2.830000	1.011094	0.406270	28.428878
21.339908	0.000227	0.144084	0.144084	71.069189	6.997909	0.768576	148.763176	148.763176	148.763176	4.122243	0.007736	2.830000	1.002585	0.404407	28.833448
21.647300	0.000235	0.146246	0.146246	71.329071	7.031210	0.767623	148.306861	148.306861	148.306861	4.124852	0.008285	2.830000	0.993879	0.402491	29.243569
21.959119	0.000243	0.148444	0.148444	71.589294	7.065772	0.766642	147.843675	147.843675	147.843675	4.127549	0.008876	2.830000	0.984974	0.400522	29.659304
22.275430	0.000251	0.150677	0.150677	71.849871	7.101655	0.765633	147.373505	147.373505	147.373505	4.130337	0.009512	2.830000	0.975866	0.398499	30.080716
22.596297	0.000260	0.152947	0.152948	72.110812	7.138918	0.764595	146.896235	146.896235	146.896235	4.133220	0.010199	2.830000	0.966553	0.396419	30.507865
22.921786	0.000269	0.155255	0.155255	72.372128	7.177628	0.763528	146.411747	146.411747	146.411747	4.136201	0.010939	2.830000	0.957033	0.394281	30.940813
23.251963	0.000278	0.157600	0.157600	72.633831	7.217853	0.762430	145.919919	145.919919	145.919919	4.139285	0.011738	2.830000	0.947302	0.392083	31.379619
23.586897	0.000288	0.159985	0.159985	72.895933	7.259667	0.761301	145.420629	145.420629	145.420629	4.142474	0.012600	2.830000	0.937359	0.389825	31.824344
23.926655	0.000298	0.162409	0.162409	73.158447	7.303147	0.760140	144.913750	144.913750	144.913750	4.145774	0.013532	2.830000	0.927200	0.387504	32.275045
24.271307	0.000308	0.164873	0.164874	73.421384	7.348377	0.758945	144.399153	144.399153	144.399153	4.149188	0.014539	2.830000	0.916825	0.385119	32.731779
24.620924	0.000319	0.167379	0.167379	73.684759	7.395444	0.757716	143.876706	143.876706	143.876706	4.152722	0.015629	2.830000	0.906230	0.382668	33.194601
24.975577	0.000331	0.169927	0.169928	73.948585	7.444442	0.756453	143.346274	143.346274	143.346274	4.156379	0.016808	2.830000	0.895415	0.380149	33.663564
25.335338	0.000343	0.172519	0.172519	74.212876	7.495471	0.755153	142.807720	142.807720	142.807720	4.160165	0.018086	2.830000	0.884376	0.377561	34.138721
25.700282	0.000355	0.175154	0.175154	74.477648	7.548638	0.753816	142.260903	142.260903	142.260903	4.164085	0.019471	2.830000	0.873114	0.374902	34.620120
26.070482	0.000368	0.177835	0.177835	74.742914	7.604057	0.752441	141.705677	141.705677	141.705677	4.168144	0.020973	2.830000	0.861626	0.372170	35.107808
26.446016	0.000381	0.180561	0.180561	75.008690	7.661849	0.751026	141.141894	141.141894	141.141894	4.172348	0.022604	2.830000	0.849912	0.369363	35.601829
26.826958	0.000395	0.183335	0.183335	75.274994	7.722145	0.749572	140.569404	140.569404	140.569404	4.176704	0.024376	2.830000	0.837970	0.366478	36.102221
27.213388	0.000410	0.186156	0.186157	75.541841	7.785085	0.748076	139.988050	139.988050	139.988050	4.181216	0.026303	2.830000	0.825801	0.363516	36.609020
27.605384	0.000425	0.189028	0.189028	75.809248	7.850820	0.746537	139.397674	139.397674	139.397674	4.185892	0.028400	2.830000	0.813405	0.360472	37.122260
